Asset_Name,Reason_Comments,Total_Count_Reason_Comment,Reason_ActionTaken,Total_Count_ActionTaken,Location
dje01,acb & vcb maintenance,1,wtg stopped acb & vcb relay testing & servicing work,1,bhatkheda
dje01,active power 10m filter limit.,4,auto reset,4,bhatkheda
dje01,anemometer 1 measurement error.,2,auto reset,1,bhatkheda
dje01,anemometer 1 measurement error.,2,replaced anemometer usable one restored wtg,1,bhatkheda
dje01,anemometer 2 communication warning.,1,replaced anemometer,1,bhatkheda
dje01,anemometer 2 measurement error.,5,auto reset,2,bhatkheda
dje01,anemometer 2 measurement error.,5,wtg reset restored,3,bhatkheda
dje01,blade 1: big deviations model (inside hysteresis).,23,auto reset,12,bhatkheda
dje01,blade 1: big deviations model (inside hysteresis).,23,reboot & restored wtg,2,bhatkheda
dje01,blade 1: big deviations model (inside hysteresis).,23,wtg reset & restored,2,bhatkheda
dje01,blade 1: big deviations model (inside hysteresis).,23,wtg reset restored,3,bhatkheda
dje01,blade 1: big deviations model (inside hysteresis).,23,wtg reset restored.,4,bhatkheda
dje01,blade 1: communication failure (slave master operational state guarding error).,2,auto reset,1,bhatkheda
dje01,blade 1: communication failure (slave master operational state guarding error).,2,wtg reset restored,1,bhatkheda
dje01,blade 1: diagnosis voltage range.,2,auto reset,2,bhatkheda
dje01,blade 2: communication failure (slave master operational state guarding error).,1,wtg reset restored,1,bhatkheda
dje01,blade 2: diagnosis voltage range.,3,checked capacitor & supply cable,3,bhatkheda
dje01,blade 2: fan (no feedback fuse blown).,1,attend warning error,1,bhatkheda
dje01,blade 2: minimum dc-link voltage reached report immediately error.,1,reset,1,bhatkheda
dje01,blade 3: blade grid loss (udc near battery voltage).,2,found blade 3 power supply cable faulty replaced also activity nosecone & hardware checking found ok,2,bhatkheda
dje01,blade 3: blade state plausibility.,12,auto reset,1,bhatkheda
dje01,blade 3: blade state plausibility.,12,wtg reset & restored wtg,2,bhatkheda
dje01,blade 3: blade state plausibility.,12,wtg restoration work progress,9,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,attend,3,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,attended restored,1,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,auto reset,4,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,checked blade 3 pitch convertor & connection,1,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,checked communication cable & hurting connector hub cabinet,1,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,checked communication cable nc cabinet ovp panel & hub cabinet,1,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,checked hurting connector pitch motor & blade proximity sensor,1,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,replaced communication cable ovp paenl sc 410 cabinet also checked harting connector hub cabinet,27,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,replaced communication cable ovp panel hc 420 cabinet,4,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,wtg reset restored,10,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,wtg restoration work progress,5,bhatkheda
dje01,blade 3: communication failure (slave master operational state guarding error).,59,wtg restoration work progress wtg restoration work progress,1,bhatkheda
dje01,blade 3: ips active feathering position.,3,check & found blade no.3 safety chain relay 8k6 nutrual cable loosed corrected,3,bhatkheda
dje01,blade 3: ips active wrong area.,1,auto reset,1,bhatkheda
dje01,blade bearing lubrication maintenance state.,3,reboot & restored wtg,1,bhatkheda
dje01,blade bearing lubrication maintenance state.,3,reboot & restored wtg (delay due scada park hang),1,bhatkheda
dje01,blade bearing lubrication maintenance state.,3,reboot reset,1,bhatkheda
dje01,blade inspection,1,wtg stopped blade inspection work,1,bhatkheda
dje01,blade teeth lubrication maintenance state.,17,reboot & restored wtg,12,bhatkheda
dje01,blade teeth lubrication maintenance state.,17,reboot restored wtg,5,bhatkheda
dje01,blade teeth lubrication maintenance state. blade teeth lubrication maintenance state.,1,reboot restored wtg,1,bhatkheda
dje01,breakdown maintenance,3,2.30 mw transformer replaced,1,bhatkheda
dje01,breakdown maintenance,3,wtg stoped transformer oil leakage arresting work,1,bhatkheda
